NAMA MAKANAN,Kategori,BAHAN,RESEP,KALORI (kkal),PROTEIN (g),LEMAK (g),KOLESTEROL (mg),KARBOHIDRAT (g),SERAT (g),GULA (g),NATRIUM (mg),KALIUM (mg)
beef broccoli fried rice,Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,180.0,10.0,6.0,35.0,22.0,1.5,2.0,480.0,250.0
beef burger (mcd),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,359.94,25.0,25.0,70.0,8.0,1.0,5.0,1290.0,0.0
beef only (yoshinoya),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,90.11,8.0,7.0,25.0,0.0,0.0,0.0,120.0,0.0
beef patty (mcd),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,220.0,14.3,6.45,39.0,8.34,0.6,0.94,380.0,280.0
belalang goreng,Snack,"belalang 100 g; garam 0,2 g; minyak goreng 15 ml","Bersihkan belalang, beri garam, lalu goreng dalam minyak panas hingga kering dan renyah, angkat dan tiriskan sebelum disajikan",220.84,20.09,11.36,74.0,8.62,0.7,0.69,283.0,389.0
Belimbing,Snack,Tidak Tersedia,Tidak Tersedia,31.0,1.0,0.3,0.0,6.7,2.8,3.9,2.0,133.0
belut goreng,Meal,100gr belut; 5gr bawang putih halus; sejumput garam; 20ml minyak goreng,"Bersihkan belut, lumuri bawang putih dan garam, goreng dalam minyak panas hingga matang dan kecokelatan, angkat dan tiriskan",185.0,18.0,11.0,65.0,2.0,0.0,0.0,420.0,320.0
bento special 3,Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,159.89,4.0,4.5,0.0,26.0,7.0,18.0,50.0,0.0
berry meal oat & almond juice,Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,369.98,6.0,18.0,2.0,46.0,2.0,6.0,870.0,0.0
best wok mi goreng sambal belacan,Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,525.1,27.0,25.0,445.0,49.0,5.0,0.0,970.0,0.0
bibimbap,Meal,80gr telur; 100gr nasi merah; 50gr bok choy; 50gr wortel; 2 siung bawang putih; 50gr bawang merah; saus gochujang secukupnya,Rebus sayuran 5 menit; tempatkan nasi merah dalam mangkuk; susun sayuran di atas nasi; tambahkan telur orak-arik; siram saus gochujang; campur semua dan sajikan,185.0,7.0,5.0,120.0,28.0,3.0,5.0,480.0,280.0
big breakfast (mcd),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,549.95,25.0,29.0,75.0,46.0,0.0,9.0,970.0,0.0
big mac (mcd),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,200.05,1.0,1.5,0.0,45.0,3.0,0.0,160.0,0.0
bihun dengan sayuran,Meal,55gr bihun jagung; 60gr wortel; 60gr brokoli; 2 siung bawang putih; sejumput garam; sejumput lada; 1 sdt minyak goreng,Rebus bihun hingga matang lalu tiriskan; rebus wortel dan brokoli selama 5 menit; panaskan minyak dan tumis bawang putih; masukkan bihun dan sayuran; bumbui garam dan lada; aduk rata dan sajikan,110.0,2.49,1.5,0.0,22.0,2.0,1.5,180.0,220.0
bihun jamur,Meal, 1 telur; 50gr bayam; 5gr bawang putih; 50gr jamur shiitake; 100gr bihun; 50gr sosis ayam; 1 sdm kecap manis; 1 sdm kecap asin; kaldu jamur,"Tumis bawang putih; masukkan sosis dan jamur; orak-arik telur terpisah; tumis bayam; rebus bihun; campurkan semua bahan dengan kecap asin, kecap manis, dan kaldu jamur; bumbui dengan garam dan merica; sajikan",180.0,11.0,5.0,85.0,25.0,2.0,4.0,490.0,280.0
bihun rasa soto ayam,Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,80.07,0.0,0.0,0.0,19.0,0.0,1.0,400,0.0
bihun rebus dengan sawi,Meal,60gr bihun jagung; 40gr sawi hijau; 1 sdm cabai merah; 2 siung bawang putih; 1 bawang merah; sejumput garam; sejumput lada; 2ml minyak goreng,"Rebus bihun setengah matang lalu tiriskan; tumis bawang merah, bawang putih, dan cabai dengan minyak hingga harum; tambahkan air dan didihkan; masukkan sawi dan bihun; bumbui garam dan lada; aduk rata dan sajikan",120.0,2.0,2.0,0.0,22.0,1.5,0.8,180.0,150.0
bihunku seduh rasa soto ayam (bihunku),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,289.67,5.9,20.97,0.0,25.33,4.8,5.93,351.0,857.0
bilah energi oatmeal cokelat,Snack,25grambiji bunga matahari (yang) dikuliti sangrai kering; 60gramkurma; 40gramkismis (tanpa biji); 20gramkacang almond panggang kering (tanpa tambahan garam); 20 g choco chips; 60 g selai kacang; 150 g oatmeal; 100 g madu tj murni,"Sangrai oatmeal sampai kecoklatan, Dinginkan sampai suhu ruang, | Cincang kurma dengan halus, | Campur semua bahan dalam satu wadah menggunakan spatula, | Pindahkan pada wadah, padatkan, tutup rapat, Simpan pada frezer minimal 30 menit, | Potong menjadi batangan,",92.25,2.06,3.61,0.0,13.29,1.0,7.44,26.0,71.0
blueband biskuit lunak,Snack,1 besar telur; 60gramgula; 100gramtepung terigu putih (semua keperluan); 4 g tepung pati jagung; 125 ml dark compound chocolate; 20 g palm sugar; 100 g cake & cookie; 55 g tepung terigu kunci biru,"Kocok mentega dan gula, Kemudian tambahkan telur dan aduk, | Tambahkan tepung yang sudah diayak dan bahan lainnya, Campur dengan baik, | Bentuk biskuit dan sebarkan di atas loyang, Panggang selama 18 menit pada suhu 180°C-190°C,",300.19,3.56,17.31,26.0,32.54,1.9,13.82,136.0,24.0
bobor bayam,Meal,100ml santan; 5gr bawang putih; sejumput garam,"Didihkan santan bersama bawang putih dan garam, masukkan bayam dan masak singkat hingga bayam layu dan matang; sajikan",121.0,2.4,8.7,0.0,10.5,2.0,2.4,171.0,357.0
bola energi oatmeal,Snack,1 sdm madu; 80 g creamy peanut butter; 1/2 gelas kering rolled oats; 25 g dark chocolate 70%,"Campurkan semua bahan dalam mangkuk kecil dan aduk hingga tercampur rata, | Dinginkan di lemari es selama 30 menit, | Gunakan sendok atau sendok makan untuk membagi campuran menjadi 6 bola secara merata,  Gunakan tangan Anda untuk membentuk bola,

 Nikmati sekarang dan simpan sisanya untuk nanti dengan menyimpannya dalam wadah tertutup di lemari es hingga 1 minggu,",137.43,4.8,8.93,0.0,12.03,1.6,4.93,62.0,2.0
bola ikan udang wortel,Snack, 100gr udang; 300gr ikan tenggiri; 102gr telur; 77gr wortel; 34gr bawang bombay; 1 sdm saus tiram; sejumput lada putih; 1/2sdm kaldu jamur,Kupas udang dan buang tulang ikan; campur semua bahan dalam food processor dan bumbui; bentuk bola-bola sekitar 25g; kukus selama 20 menit; sajikan,30.0,4.08,0.9,31.0,1.1,0.1,0.22,60.0,75.0
bola ubi jalar,Snack,377gr ubi jalar; 58gr nanas; 18gr biji wijen; 2 sdt fiber crème,Kukus ubi hingga matang; hancurkan ubi dan tambahkan fiber creme; bentuk ubi dan isi dengan nanas; lapisi dengan biji wijen; sajikan,120.0,2.0,3.0,0.0,22.0,3.0,8.0,45.0,280.0
bola udang,Snack,80gr udang cincang; 30gr tepung terigu; 5gr bawang putih halus; sejumput garam; 20ml minyak goreng,"Campurkan udang, bawang putih, garam, dan tepung hingga bisa dibentuk, bentuk bola lalu goreng dalam minyak panas hingga matang",185.0,12.0,9.0,95.0,12.0,0.3,0.5,320.0,220.0
bolognese wrap,Meal,100gramdaging sapi giling; 3 gandum tortilla; 200gramwortel dimasak; 2 siung bawang putih dimasak; 200grammentimun (kupas); 15 g saus sambal; 3 g lada putih bubuk; 1 sdm saos tiram,"Kupas timun dan wortel lalu iris memanjang, Rebus wortel dalam air yang mendidih selama 1 menit (jangan terlalu layu), | Cincang 2 siung bawang putih, Tumis hingga harum kemudian masukkan daging cincang, tambahkan saus tiram, saus sambal, garam, lada, Masak hingga daging matang, | Letakkan daging cincang, wortel dan timun, susun memanjang diatas tortilla kemudian gulung, | Panggang tortilla hingga berwarna kecoklatan, Siap disajikan,",46.65,2.47,1.62,5.6,5.61,0.95,0.88,138.26,83.01
bolu cup,Snack,220gramtelur; 120gramgula pasir; 150gramtepung terigu putih (semua keperluan); 50 g keju serbaguna,"Kocok telur dan gula hingga mengembang, | Tambahkan tepung sedikit demi sedikit, | Masukkan ke cup, | Taburin keju, | Panggang dg suhu 200 C selama 30 menit,",59.04,1.87,1.3,37.0,9.88,0.2,4.88,46.0,19.0
bolu kukus (sari roti),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,200.05,4.0,11.0,0.0,22.0,3.0,9.0,50.0,0.0
bolu kukus blackforest (tugu jogja),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,200.05,3.0,12.0,30.0,21.0,2.0,12.0,115.0,0.0
bolu kukus coklat (tugu jogja),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,190.01,3.0,11.0,45.0,20.0,1.0,11.0,105.0,1.0
bolu kukus ketan pandan (tugu jogja),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,190.01,3.0,10.0,70.0,20.0,1.0,11.0,70.0,0.0
bolu kukus kopi joss (tugu jogja),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,200.05,2.0,11.0,0.0,23.0,0.0,11.0,120.0,0.0
bolu oatmeal pisang cokelat,Snack,"50gramegg; 375grambanana; 10 g cocoa powder; 150 g whole rolled oats; 5 g coconut sugar; 50 g choco chips; 2,5 g baking powder","Haluskan pisang, | Campur semua bahan, | Panggang selama 30 menit pada suhu 170°C, | Hasilnya jadi 2 loyang bisa dibagi 12 potong,",105.64,2.96,2.83,18.0,18.69,2.9,6.24,469.0,117.0
bolu pisang coklat,Snack,4 besar telur; 1 sdt ekstrak vanila; 450grampisang; 20gramkacang almond panggang kering (tanpa tambahan garam); 2 sdt baking soda; 100 g original yogurt; 51 g coklat bubuk; 30 ml madu,"Hancurkan pisang, | Campur semua bahan kecuali almond, | Tuang ke dalam cetakan dan beri hiasan almond, | Panggang dalam oven pada suhu 175°C selama 50-60 menit, Jangan lupa tes tusuk,",136.29,5.14,4.62,86.0,19.33,4.3,7.48,286.0,203.0
bolu pisang kukus,Snack,2 besar telur; 120gramtepung gandum; 1/2 sdt ekstrak vanila; 1 sdt baking soda; 440 g pisang ambon; 4 g sweetener; 50 g margarine,"Kupas pisang , lumatkan hingga halus lalu sisahkan, | Kocok telur dan gula hanya sampai larut saja, Tidak usah terlalu lama, | Campurkan pisang yg sudah dilumatkan kedalam adonan telur dan gula, Aduk hingga tercampur rata, | Ayak tepung, baking soda dan vanili, Masukan kedalan adonan, Aduk hingga tercampur rata, | Masukan margarin keadonan, aduk hingga rata, | Siapkan loyang, Olesi dengan margarin secara merata, | Kukus dengan api sedang selama 30 menit, | Setelah 30 menit cek meggunakan tusuk gigi, Kalau tidak ada yg menempal berati sudah matang dengan sempurna,",137.67,3.47,5.37,42.0,20.56,11.0,0.15,193.0,225.0
bolu pisang oat kukus,Snack,1 telur; 2 pisang; 1 sdt baking soda; 6 sdm oatmeal instan; 5gr keju cheddar,"Blender oat agak halus, | Campur telor dan oat yang sudah d blender beserta baking powder, | Haluskan pisang, | Tuang pisang yang sudah halus ke adonan, | Siapkan loyang dan Kukusan, | Kukus kurang lebih 30menit, | Sajikan",152.0,4.0,4.0,45.0,24.0,2.0,10.0,120.0,180.0
bolu sagon kelapa,Snack,3 besar telur; 100gramkelapa kering; 1 sdt baking soda; 93gramgula pasir; 120gramtepung terigu putih (semua keperluan); 1 sejumput garam laut; 9 sdm minyak goreng,"Kocok telur, gula, ovalet ¼ sdt, dan garam sejumput hingga mengembang dan berwarna pucat, | Masukkan kelapa parut kering, tepung terigu, dan baking powder, Aduk hingga merata, | Tambahkan minyak sayur dan aduk hingga tercampur rata, | Siapkan loyang, tataki dengan kertas baking dan diolesi mentega, | Tuangkan adonan ke loyang, Panggang di oven pada suhu 180 C selama 30-35 menit, | Angkat dan sajikan,",499.04,7.63,34.31,127.0,41.87,3.9,20.35,333.0,175.0
bolu tape,Snack,6 besar telur; 210gramgula pasir; 300gramtape singkong; 150 g margarine; 210 g tepung terigu; 80 ml susu uht low fat; 10 g baking powder,"Lumatkan tape dengan susu, sisihkan, | Kocok telur dan gula hingga putih kental berjejak, | Masukan tape yang sudah dilumatkan ke dalam adonan telur aduk rata, | Masukan terigu dan baking powder ke dalam adonan aduk rata, | Terakhir masukan margarine dalam adonan aduk rata  jangan sampai ada cairan yang mengendap di bawah adonan, | Tuang dalam loyang panggang dengan suhu 160°C selama 50menit atau sampai bolu matang, | Tes kematangan bolu dengan menusuk bolu jika sudah tidak ada adonan menempel maka bolu matang sempurna,",232.88,4.27,9.31,80.0,31.3,0.3,13.42,131.0,63.0
bread puding,Snack,1 besar telur; 10gramkismis; 1 sdt ekstrak vanila; 250 ml susu uht low fat high calcium; 6 g sweetener; 2 lembar roti tawar,"Kocok putih telur dengan pemanis, | Tambahkan vanili, lalu kocok kembali, | Tambah susu 250ml, lalu kocok kembali, | Siapkan roti tawar, potong potong kotak-kotak, | Masukan roti tawar kedalam adonan telur, | Aduk perlahan, masukkan ke dalam wajan, Taburi dengan kismis, | Siapkan kukusan yg sudah panas, | Masukan adonan kedalam kukusan,",76.73,3.77,1.84,38.0,10.8,0.7,1.47,81.0,98.0
brokoli rebus,Meal,brokoli beku; air,Rebus brokoli beku hingga matang,28.0,3.0,0.3,0.0,5.2,3.3,1.4,44.0,293.0
brokoli tumis,Meal,brokoli; bawang putih; saus tiram; minyak,Tumis brokoli dengan bawang dan saus hingga matang,65.0,3.7,4.5,0.0,5.8,2.4,1.5,280.0,280.0
brondong ketan,Snack,beras ketan; gula; kelapa,Kukus ketan lalu campur gula dan kelapa,349.9,8.0,23.0,0.0,27.0,0.0,18.0,250.0,0.0
brownies,Snack,20gramkakao bubuk (tanpa gula); 20gramgula pasir; 30 g instant oatmeal; 30 g dark chocolate 90%; 20 g margarin,"Lelehkan dark coklat dan margarin, | Campurkan oat dan coklat bubuk, | Campur semua bahan dengan baik, | Tuang ke dalam cetakan dan panggang selama 25 menit pada suhu 180°C,",79.35,1.6,5.33,0.0,8.63,1.9,3.19,26.0,44.0
brownies berprotein,Snack,1 besar telur (utuh); 25 g greek yogurt plain; 1 scoop f1 shake mix cookies 'n cream; 7 g cocoa powder; 1 tetes stevia sweetener,"Campur semua bahan, | Taruh adonan ke dalam cetakan lalu hias sesuai selera, | Panggang dalam airfryer selama 20 menit 180°C,",184.01,19.29,8.47,214.0,11.88,3.0,5.38,182.0,147.0
brownies dengan lapisan (gula),Snack,tepung terigu; telur; gula; mentega,Panggang atau kukus adonan brownies lalu beri lapisan gula,390.0,4.0,16.0,40.0,58.0,1.0,42.0,195.0,120.0
brownies kukus cheese cream (amanda),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,340.11,5.0,18.0,0.0,40.0,0.0,25.0,230.0,0.0
brownies kukus lemon cheese (amanda),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,369.98,6.0,19.0,0.0,43.0,0.0,25.0,105.0,0.0
brownies kukus original (amanda),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,409.89,5.0,24.0,0.0,43.0,0.0,31.0,90.0,0.0
brownies kukus pink marble (amanda),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,349.9,6.0,17.0,0.0,43.0,0.0,28.0,110.0,0.0
brownies kukus rasa sari kaya pandan (amanda),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,170.17,2.02,6.85,7.0,26.84,0.9,15.38,131.0,63.0
